category_idn,category_eng,date,rsi,rsi_mean,rsi_sd,z_score
Suku cadang & aksesori,Motor vehicles part & accessories,2022-04-01,124.96676727596157,118.26698509069757,18.19753552901614,0.368169754337401
"Makanan, minuman & tembakau","Food, beverages, & tobacco",2022-04-01,293.542771990368,201.79814361348707,47.54446596780337,1.92965945687579
Bahan bakar kendaraan bermotor,Automotive fuels,2022-04-01,106.53418609446193,92.06438952327191,17.969857179246805,0.805226019709329
Peralatan informasi & komunikasi,Information & communication equipment,2022-04-01,160.16083294789811,277.5429644104887,94.58568143104375,-1.241013752680592
Perlengkapan rumah tangga lainnya,Other household equipment,2022-04-01,102.78670856109409,152.97437457570598,21.857180202535314,-2.2961638029040174
Barang budaya & rekreasi,Cultural & recreation goods,2022-04-01,57.1951184912402,101.34399167996861,22.500652909496512,-1.9621152046701347
Barang lainnya,Other goods,2022-04-01,86.68820872478173,142.07751669489713,43.717752641659146,-1.2669751902419222
Sandang,Clothing,2022-04-01,82.34941940921118,139.88768986403653,45.484641390627665,-1.265004377206795
Keseluruhan,Overall,2022-04-01,219.2975070758691,186.54599768205082,33.47853933574626,0.9782837018474189
